Nom;lat;long
AIGLE;45,24271395;2,22463885
ASTON;42,71175685;1,74718625
BATHIE;45,67014145;6,5449885
BORT;45,4130061;2,49823385
BROMMAT;44,7845668;2,6973167
CHEYLAS;45,3832473;6,0259022
COCHE;45,4830543;6,5081172
COMBE D'AVRIEUX;45,2320711;6,7189476
CURBANS;44,4488221;6,13302715
GRAND MAISON;45,1773292;6,09654875
HERMILLON;45,26225825;6,3986576
MALGOVERT;45,5630041;6,854359
MONTEZIC;44,72306675;2,6575976
MONTPEZAT;44,7690881;4,161893
POUGET;44,0901976;2,72654095
PRAGNERES;42,81716575;0,02429805
RANDENS;45,507628;6,41999595
REVIN;49,91751155;4,61435495
SARRANS;44,82811725;2,74107965
SAUSSAZ;45,20760605;6,52617375
SERRE PONCON;44,47059885;6,27313325
SISTERON;44,207151;5,9244825
ST CHAMAS;43,529058;5,07368405
ST ETIENNE CANTALES;44,9229653;2,2552078
ST GUILLERME;45,0361286;6,12545355
SUPER BISSORTE;45,1859357;6,57491115
VILLARODIN;45,2151935;6,83727195
VOUGLANS;46,43763355;5,67763975
ARRIGHI;48,7867765;2,4184926
BELLEVILLE;47,5087873;2,87657055
BLAYAIS;45,25532175;-0,68841745
BLENOD;48,8700624;6,07971605
BOUCHAIN;50,29839895;3,3174809
BRENNILIS;48,35766305;-3,87041885
BUGEY;45,799453;5,2688623
CATTENOM;49,41705885;6,21967055
CHASTANG;45,1515905;2,0098738
CHINON;47,22829455;0,17145465
CHOOZ;50,0907857;4,7924193
CIVAUX;46,45349965;0,6522588
CORDEMAIS;47,27778685;-1,88238505
COUESQUE;44,69532355;2,5827902
CRUAS;44,63239235;4,75528965
DAMPIERRE;47,73328825;2,51728455
DIRINON;48,3896922;-4,26282325
FLAMANVILLE;49,53812675;-1,8802068
GENNEVILLIERS;48,93755525;2,2597518
GOLFECH;44,10752955;0,846759
GRAVELINES;51,01527555;2,1376431
MARTIGUES PONTEAU;43,35958585;5,02088545
MONTEREAU;48,37998085;2,85174025
NOGENT;48,5180798;3,5175884
ORAISON;43,92128425;5,9254947
PALUEL;49,85838735;0,6351711
PENLY;49,97561535;1,21792475
PIED DE BORNE;44,4786662;3,9856253
ST ALBAN;45,40753115;4,75393135
ST ESTEVE;43,6911421;5,38398075
ST LAURENT;47,7196371;1,5811841
ST PIERRE COGNET;44,87217975;5,7727193
STE CROIX;43,7369007;6,1339801
TRICASTIN;44,3311042;4,73135365
VAIRES;48,87396515;2,65623195
MONTEYNARD;44,96151175;5,6883672
FESSENHEIM;47,9069194;7,5626349
HAVRE;49,47521555;0,14744595
ARAMON;43,88168855;4,65821345
PORCHEVILLE;48,9703541;1,75961595
RANCE;48,61771385;-2,02621405
VITRY;48,7907932;2,4165763
MAXE;49,1563353;6,19080005
BANC DE GUERANDE;47,1615737;-2,5992037
FECAMP;49,90416665;0,22033335

